T?nh Thành Ph?	Qu?n Huy?n	Ph??ng Xã			
T?nh Yên Bái	Huy?n Yên Bình	Xã Phúc An	Xa Phuc An	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã B?ch Hà	Xa Bach Ha	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã V? Linh	Xa Vu Linh	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã ??i ??ng	Xa Dai Dong	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã V?nh Kiên	Xa Vinh Kien	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Yên Bình	Xa Yen Binh	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Th?nh H?ng	Xa Thinh Hung	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Hán ?à	Xa Han Da	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Phú Th?nh	Xa Phu Thinh	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã ??i Minh	Xa Dai Minh	Huyen Yen Binh	Tinh Yen Bai
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng Thái Bình	Phuong Thai Binh	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng Tân Hòa	Phuong Tan Hoa	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng Th?nh Lang	Phuong Thinh Lang	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng H?u Ngh?	Phuong Huu Nghi	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng Tân Th?nh	Phuong Tan Thinh	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng ??ng Ti?n	Phuong Dong Tien	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng Ph??ng Lâm	Phuong Phuong Lam	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Xã Yên Mông	Xa Yen Mong	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng Qu?nh Lâm	Phuong Quynh Lam	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng Dân Ch?	Phuong Dan Chu	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Xã Hòa Bình	Xa Hoa Binh	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng Th?ng Nh?t	Phuong Thong Nhat	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng K? S?n	Phuong Ky Son	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Xã Th?nh Minh	Xa Thinh Minh	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Xã H?p Thành	Xa Hop Thanh	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Xã Quang Ti?n	Xa Quang Tien	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Xã Mông Hóa	Xa Mong Hoa	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Ph??ng Trung Minh	Phuong Trung Minh	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Thành ph? Hòa Bình	Xã ??c L?p	Xa Doc Lap	Thanh pho Hoa Binh	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Th? tr?n ?à B?c	Thi tran Da Bac	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã Nánh Nghê	Xa Nanh Nghe	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã Giáp ??t	Xa Giap Dat	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã M??ng Chi?ng	Xa Muong Chieng	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã Tân Pheo	Xa Tan Pheo	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã ??ng Chum	Xa Dong Chum	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã Tân Minh	Xa Tan Minh	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã ?oàn K?t	Xa Doan Ket	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã ??ng Ru?ng	Xa Dong Ruong	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã Tú Lý	Xa Tu Ly	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã Trung Thành	Xa Trung Thanh	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã Yên Hòa	Xa Yen Hoa	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã Cao S?n	Xa Cao Son	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã Toàn S?n	Xa Toan Son	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã Hi?n L??ng	Xa Hien Luong	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã Ti?n Phong	Xa Tien Phong	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n ?à B?c	Xã V?y N?a	Xa Vay Nua	Huyen Da Bac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L??ng S?n	Th? tr?n L??ng S?n	Thi tran Luong Son	Huyen Luong Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L??ng S?n	Xã Lâm S?n	Xa Lam Son	Huyen Luong Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L??ng S?n	Xã Hòa S?n	Xa Hoa Son	Huyen Luong Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L??ng S?n	Xã Tân Vinh	Xa Tan Vinh	Huyen Luong Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L??ng S?n	Xã Nhu?n Tr?ch	Xa Nhuan Trach	Huyen Luong Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L??ng S?n	Xã Cao S?n	Xa Cao Son	Huyen Luong Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L??ng S?n	Xã C? Yên	Xa Cu Yen	Huyen Luong Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L??ng S?n	Xã Liên S?n	Xa Lien Son	Huyen Luong Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L??ng S?n	Xã Cao D??ng	Xa Cao Duong	Huyen Luong Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L??ng S?n	Xã Thanh S?n	Xa Thanh Son	Huyen Luong Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L??ng S?n	Xã Thanh Cao	Xa Thanh Cao	Huyen Luong Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Th? tr?n Bo	Thi tran Bo	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã ?ú Sáng	Xa Du Sang	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã Hùng S?n	Xa Hung Son	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã Bình S?n	Xa Binh Son	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã Tú S?n	Xa Tu Son	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã V?nh Ti?n	Xa Vinh Tien	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã ?ông B?c	Xa Dong Bac	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã Xuân Th?y	Xa Xuan Thuy	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã V?nh ??ng	Xa Vinh Dong	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã Kim L?p	Xa Kim Lap	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã H?p Ti?n	Xa Hop Tien	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã Kim Bôi	Xa Kim Boi	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã Nam Th??ng	Xa Nam Thuong	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã Cu?i H?	Xa Cuoi Ha	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã Sào Báy	Xa Sao Bay	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã Mi Hòa	Xa Mi Hoa	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Kim Bôi	Xã Nuông D?m	Xa Nuong Dam	Huyen Kim Boi	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Cao Phong	Th? tr?n Cao Phong	Thi tran Cao Phong	Huyen Cao Phong	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Cao Phong	Xã Bình Thanh	Xa Binh Thanh	Huyen Cao Phong	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Cao Phong	Xã Thung Nai	Xa Thung Nai	Huyen Cao Phong	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Cao Phong	Xã B?c Phong	Xa Bac Phong	Huyen Cao Phong	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Cao Phong	Xã Thu Phong	Xa Thu Phong	Huyen Cao Phong	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Cao Phong	Xã H?p Phong	Xa Hop Phong	Huyen Cao Phong	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Cao Phong	Xã Tây Phong	Xa Tay Phong	Huyen Cao Phong	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Cao Phong	Xã D?ng Phong	Xa Dung Phong	Huyen Cao Phong	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Cao Phong	Xã Nam Phong	Xa Nam Phong	Huyen Cao Phong	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Cao Phong	Xã Th?ch Yên	Xa Thach Yen	Huyen Cao Phong	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Th? tr?n Mãn ??c	Thi tran Man Duc	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã Su?i Hoa	Xa Suoi Hoa	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã Phú Vinh	Xa Phu Vinh	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã Phú C??ng	Xa Phu Cuong	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã M? Hòa	Xa My Hoa	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã Quy?t Chi?n	Xa Quyet Chien	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã Phong Phú	Xa Phong Phu	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã T? Nê	Xa Tu Ne	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã Thanh H?i	Xa Thanh Hoi	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã Ng?c M?	Xa Ngoc My	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã ?ông Lai	Xa Dong Lai	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã Vân S?n	Xa Van Son	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã Nhân M?	Xa Nhan My	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã L? S?n	Xa Lo Son	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã Ng? Luông	Xa Ngo Luong	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Tân L?c	Xã Gia Mô	Xa Gia Mo	Huyen Tan Lac	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã Tân Thành	Xa Tan Thanh	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Th? tr?n Mai Châu	Thi tran Mai Chau	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã S?n Th?y	Xa Son Thuy	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã Pà Cò	Xa Pa Co	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã Hang Kia	Xa Hang Kia	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã ??ng Tân	Xa Dong Tan	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã Cun Pheo	Xa Cun Pheo	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã Bao La	Xa Bao La	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã Tòng ??u	Xa Tong Dau	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã Nà Phòn	Xa Na Phon	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã S?m Khóe	Xa Sam Khoe	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã Chi?ng Châu	Xa Chieng Chau	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã Mai H?	Xa Mai Ha	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã Thành S?n	Xa Thanh Son	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã Mai H?ch	Xa Mai Hich	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Mai Châu	Xã V?n Mai	Xa Van Mai	Huyen Mai Chau	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Th? tr?n V? B?n	Thi tran Vu Ban	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Quý Hòa	Xa Quy Hoa	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Mi?n ??i	Xa Mien Doi	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã M? Thành	Xa My Thanh	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Tuân ??o	Xa Tuan Dao	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã V?n Ngh?a	Xa Van Nghia	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã V?n S?n	Xa Van Son	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Tân L?p	Xa Tan Lap	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Nhân Ngh?a	Xa Nhan Nghia	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Th??ng C?c	Xa Thuong Coc	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Quy?t Th?ng	Xa Quyet Thang	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Xu?t Hóa	Xa Xuat Hoa	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Yên Phú	Xa Yen Phu	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Bình H?m	Xa Binh Hem	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã ??nh C?	Xa Dinh Cu	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Chí ??o	Xa Chi Dao	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Ng?c S?n	Xa Ngoc Son	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã H??ng Nh??ng	Xa Huong Nhuong	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã V? Bình	Xa Vu Binh	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã T? Do	Xa Tu Do	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Yên Nghi?p	Xa Yen Nghiep	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Tân M?	Xa Tan My	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Ân Ngh?a	Xa An Nghia	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c S?n	Xã Ng?c Lâu	Xa Ngoc Lau	Huyen Lac Son	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Yên Th?y	Th? tr?n Hàng Tr?m	Thi tran Hang Tram	Huyen Yen Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Yên Th?y	Xã L?c S?	Xa Lac Sy	Huyen Yen Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Yên Th?y	Xã L?c L??ng	Xa Lac Luong	Huyen Yen Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Yên Th?y	Xã B?o Hi?u	Xa Bao Hieu	Huyen Yen Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Yên Th?y	Xã ?a Phúc	Xa Da Phuc	Huyen Yen Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Yên Th?y	Xã H?u L?i	Xa Huu Loi	Huyen Yen Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Yên Th?y	Xã L?c Th?nh	Xa Lac Thinh	Huyen Yen Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Yên Th?y	Xã ?oàn K?t	Xa Doan Ket	Huyen Yen Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Yên Th?y	Xã Phú Lai	Xa Phu Lai	Huyen Yen Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Yên Th?y	Xã Yên Tr?	Xa Yen Tri	Huyen Yen Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n Yên Th?y	Xã Ng?c L??ng	Xa Ngoc Luong	Huyen Yen Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c Th?y	Th? tr?n Ba Hàng ??i	Thi tran Ba Hang Doi	Huyen Lac Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c Th?y	Th? tr?n Chi Nê	Thi tran Chi Ne	Huyen Lac Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c Th?y	Xã Phú Ngh?a	Xa Phu Nghia	Huyen Lac Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c Th?y	Xã Phú Thành	Xa Phu Thanh	Huyen Lac Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c Th?y	Xã H?ng Thi	Xa Hung Thi	Huyen Lac Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c Th?y	Xã Khoan D?	Xa Khoan Du	Huyen Lac Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c Th?y	Xã ??ng Tâm	Xa Dong Tam	Huyen Lac Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c Th?y	Xã Yên B?ng	Xa Yen Bong	Huyen Lac Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c Th?y	Xã Th?ng Nh?t	Xa Thong Nhat	Huyen Lac Thuy	Tinh Hoa Binh
T?nh Hoà Bình	Huy?n L?c Th?y	Xã An Bình	Xa An Binh	Huyen Lac Thuy	Tinh Hoa Binh
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Quán Tri?u	Phuong Quan Trieu	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Quang Vinh	Phuong Quang Vinh	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Túc Duyên	Phuong Tuc Duyen	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Hoàng V?n Th?	Phuong Hoang Van Thu	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Tr?ng V??ng	Phuong Trung Vuong	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Quang Trung	Phuong Quang Trung	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Phan ?ình Phùng	Phuong Phan Dinh Phung	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Tân Th?nh	Phuong Tan Thinh	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Th?nh ?án	Phuong Thinh Dan	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng ??ng Quang	Phuong Dong Quang	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Gia Sàng	Phuong Gia Sang	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Tân L?p	Phuong Tan Lap	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Cam Giá	Phuong Cam Gia	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Phú Xá	Phuong Phu Xa	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng H??ng S?n	Phuong Huong Son	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Trung Thành	Phuong Trung Thanh	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Tân Thành	Phuong Tan Thanh	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Tân Long	Phuong Tan Long	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Xã Phúc Hà	Xa Phuc Ha	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Xã Phúc Xuân	Xa Phuc Xuan	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Xã Quy?t Th?ng	Xa Quyet Thang	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Xã Phúc Trìu	Xa Phuc Triu	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Xã Th?nh ??c	Xa Thinh Duc	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Tích L??ng	Phuong Tich Luong	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Xã Tân C??ng	Xa Tan Cuong	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Xã S?n C?m	Xa Son Cam	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng Chùa Hang	Phuong Chua Hang	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Xã Cao Ng?n	Xa Cao Ngan	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Xã Linh S?n	Xa Linh Son	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Ph??ng ??ng B?m	Phuong Dong Bam	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Xã Hu?ng Th??ng	Xa Huong Thuong	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Thái Nguyên	Xã ??ng Liên	Xa Dong Lien	Thanh pho Thai Nguyen	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Sông Công	Ph??ng L??ng S?n	Phuong Luong Son	Thanh pho Song Cong	Tinh Thai Nguyen
T?nh Thái Nguyên	Thành ph? Sông Công	Ph??ng Châu S?n	Phuong Chau Son	Thanh pho Song Cong	Tinh Thai Nguyen
